domain,fold,best_epoch,steps,val_f1,selected_threshold,auroc,auprc,balanced_acc,f1,mcc,selected_balanced_acc,selected_f1,test_n,positives,negatives
Rdomain,Green,49,2550,0.901288,0.5167,0.948438,0.942374,0.886696,0.864734,0.775959,0.888294,0.866828,522,209,313
Rdomain,Red,49,2650,0.916667,0.482631,0.893731,0.544708,0.882263,0.243902,0.327627,0.882263,0.243902,442,6,436
Rdomain,Yellow,49,2500,0.878788,0.51655,0.838765,0.667416,0.756147,0.475806,0.390827,0.750878,0.476987,564,80,484
fullCP,Green,39,2600,0.860759,0.499502,0.889007,0.882125,0.797186,0.76044,0.597286,0.797186,0.76044,561,231,330
